Categorie,Aliments,Mesure,Poids (g),Énergie (kcal),Énergie (kJ),Protéines (g),Glucides (g),Sucres totaux (g),Fibres alimentaires totales (g),Gras totaux (g),Gras saturés (g),Gras monoinsaturés (g),Gras polyinsaturés (g),DHA (g),EPA (g),Gras trans (g),Cholestérol (mg),Calcium (mg),Fer (mg),Sodium (mg),Potassium (mg),Magnésium (mg),Phosphore (mg),Thiamine (mg),Riboflavine (mg),Niacine (ÉN),Vitamine A (ÉAR),Bêta-carotène (mcg),Lycopène (mcg),Vitamine C (mg),Vitamine D (mcg),Vitamine E (mg),Folates (ÉFA),Vitamine B12 (mcg),Alcool (g),Caféine (mg)
Légumes et produits à base de légumes,"Cocktail de tomate et de palourdes",125mL,128,61,257,1,14,4,0.5,tr,,,,,,,10,0.2,462,114,6,14,9,163,3807,,10,6,0.04,,,
Légumes et produits à base de légumes,"Jus de carottes",125mL,125,50,208,1,12,5,1.0,tr,,,,,,,30,0.6,36,364,17,52,966,11599,2,,5,11,,0,,,
Légumes et produits à base de légumes,"Jus de légumes, cocktail",125mL,128,24,101,1,6,4,0.7,tr,,,,,,,14,0.5,345,247,14,22,100,1061,12351,,27,35,,0,,,
Légumes et produits à base de légumes,"Jus de légumes, cocktail, réduit en sodium",125mL,128,28,118,1,6,5,1.0,tr,,,,,,,14,0.5,89,247,14,22,66,1061,12350,,27,35,,0,,,
Légumes et produits à base de légumes,"Jus de tomate",125mL,128,22,91,1,5,5,0.9,tr,,,,,,,13,0.6,345,294,14,23,30,347,11602,,26,10,,0,,,
Légumes et produits à base de légumes,"Jus de tomate, sans sel ajouté",125mL,184,31,131,1,8,7,0.7,tr,,,,,,,18,0.8,18,421,20,33,42,N/D,16611,,37,34,,0,,,
Légumes et produits à base de légumes,"Salade de chou, avec vinaigrette, maison",125mL,63,44,183,1,8,N/D,1.0,2,,,,,,,29,0.4,15,115,6,20,34,87,N/D,,17,21,,0,,,
Légumes et produits à base de légumes,"Salade de pommes de terre, maison",125mL,132,205,858,4,14,3,1.4,15,,,,,,,28,0.7,579,276,17,66,57,183,,0,22,17,0.20,,,
Légumes et produits à base de légumes,"Sauce tomate pour spaghetti, en conserve",125mL,132,143,600,2,21,N/D,1.9,6,,,,,,,37,0.9,652,505,32,47,82,967,N/D,,28,15,,0,,,
Légumes et produits à base de légumes,"Sauce tomate, en conserve",125mL,129,41,173,2,10,6,1.9,tr,,,,,,,17,1.3,678,428,21,34,22,271,19612,,12,8,,0,,,
Fruits et jus de fruits,"Abricots crus",3,105,50,211,1,12,10,2.1,tr,,,,,,,14,0.4,1,272,11,24,101,1149,,0,9,,11,0,,,
Fruits et jus de fruits,"Abricots, séchés",3,21,67,281,1,17,,1.2,tr,,,,,,,13,1.3,3,389,13,33,133,,0,1,2,,0,,,
Fruits et jus de fruits,"Ananas, en conserve, dans du jus",125mL,132,79,330,1,21,19,1.2,tr,,,,,,,18,0.4,1,160,18,8,3,30,,0,7,,12,0,,,
Fruits et jus de fruits,"Ananas, en dés",125mL,82,42,174,tr,11,8,1.1,tr,,,,,,,11,0.2,1,88,10,7,2,28,,0,16,,46,0,,,
Fruits et jus de fruits,"Avocat",1/2,101,161,672,2,9,1,6.7,15,,,,,,,12,0.6,7,487,29,52,7,62,,0,81,,10,0,,,
Fruits et jus de fruits,"Banane",1,118,105,439,1,27,14,2.1,tr,,,,,,,6,0.3,1,422,32,26,4,31,,0,24,,10,0,,,
Fruits et jus de fruits,"Bleuets crus",125mL,77,44,182,1,11,8,2.0,tr,,,,,,,5,0.2,1,59,5,9,2,25,,0,5,,7,0,,,
Fruits et jus de fruits,"Bleuets, congelés, non sucrés",125mL,82,42,174,tr,10,7,2.6,1,,,,,,,7,0.1,1,44,4,9,2,23,,0,6,,2,0,,,
Fruits et jus de fruits,"Canneberges séchées, sucrées",60mL,31,95,396,tr,25,20,1.8,tr,,,,,,,3,0.2,1,12,2,2,,,0,0,,tr,0,,,
Fruits et jus de fruits,"Cerises de terre",10,49,26,108,1,5,N/D,N/D,tr,,,,,,,4,0.5,tr,75,N/D,19,17,210,N/D,,3,5,,0,,,
Fruits et jus de fruits,"Cerises sucrées",10,68,43,179,1,11,9,1.4,tr,,,,,,,9,0.2,0,151,7,14,2,26,,0,3,,5,0,,,
Fruits et jus de fruits,"Clémentine",1,74,35,146,1,9,7,1.3,tr,,,,,,,22,0.1,1,131,7,16,N/D,N/D,N/D,,18,36,,0,,,
Fruits et jus de fruits,"Cocktail aux fruits, en conserve, dans du jus",125mL,125,58,240,1,15,14,1.3,tr,,,,,,,10,0.3,5,119,9,18,19,193,,0,4,,3,0,,,
Fruits et jus de fruits,"Cocktail aux fruits, en conserve, sirop léger",125mL,128,73,304,1,19,18,1.3,tr,,,,,,,8,0.4,8,114,6,14,13,133,,0,4,,2,0,,,
Fruits et jus de fruits,"Dattes séchées",3,25,70,294,1,19,16,2.0,tr,,,,,,,10,0.3,tr,163,11,15,,1,0,5,tr,,0,,,
Fruits et jus de fruits,"Figues crues",1,50,37,155,tr,10,8,1.5,tr,,,,,,,18,0.2,1,116,9,7,4,43,,0,3,,1,0,,,
Fruits et jus de fruits,"Figues séchées",2,17,42,175,1,11,8,1.6,tr,,,,,,,27,0.3,2,114,11,11,tr,1,0,2,tr,,0,,,
Fruits et jus de fruits,"Fraises",7,84,27,113,1,6,4,1.9,tr,,,,,,,13,0.4,1,129,11,20,1,6,,0,20,,49,0,,,
Fruits et jus de fruits,"Fraises, congelées, non sucrées",125mL,117,41,170,1,11,5,1.8,tr,,,,,,,19,0.9,2,173,13,15,2,32,,0,20,,48,0,,,
Fruits et jus de fruits,"Framboises",125mL,65,34,141,1,8,3,4.2,tr,,,,,,,16,0.4,1,98,14,19,1,8,,0,14,,17,0,,,
Fruits et jus de fruits,"Grenade (9,5 cm diam)",1/2,77,53,220,1,13,13,0.5,tr,,,,,,,2,0.2,2,200,2,6,2,31,,0,5,,5,0,,,
Fruits et jus de fruits,"Kiwi",1,76,46,194,1,11,7,2.3,tr,,,,,,,26,0.2,2,237,13,26,3,40,,0,19,,70,0,,,
Fruits et jus de fruits,"Litchi",10,96,63,265,1,16,15,1.2,tr,,,,,,,5,0.3,1,164,10,30,,,0,,13,,69,0,,,
Fruits et jus de fruits,"Mangue",1/2,104,67,282,1,18,15,1.9,tr,,,,,,,10,0.1,2,161,9,11,39,461,,0,14,,29,0,,,
Fruits et jus de fruits,"Melon d'eau (pastèque), en dés",125mL,80,24,100,tr,6,5,0.3,tr,,,,,,,6,0.2,1,90,8,9,22,243,3639,,2,7,,0,,,
Fruits et jus de fruits,"Melon, cantaloup, en dés",125mL,85,29,120,1,7,7,0.6,tr,,,,,,,8,0.2,14,226,10,13,143,1708,,0,18,,31,0,,,
Fruits et jus de fruits,"Melon, miel, en dés",125mL,90,32,136,tr,8,7,0.7,tr,,,,,,,5,0.2,16,205,9,10,3,27,,0,17,,16,0,,,
Fruits et jus de fruits,"Mûres",125mL,76,33,137,1,7,4,4.0,tr,,,,,,,22,0.5,1,123,15,17,8,97,,0,19,,16,0,,,
Fruits et jus de fruits,"Nectarine",1,136,60,250,1,14,11,2.3,tr,,,,,,,8,0.4,0,273,12,35,18,204,,0,7,,7,0,,,
Fruits et jus de fruits,"Orange",1,131,62,258,1,15,12,2.3,tr,,,,,,,52,0.1,0,237,13,18,8,93,,0,39,,70,0,,,
Fruits et jus de fruits,"Pamplemousse blanc",1/2,118,39,163,1,10,9,2.1,tr,,,,,,,14,0.1,0,175,11,9,2,17,,0,12,,39,0,,,
Fruits et jus de fruits,"Pamplemousse rose ou rouge",1/2,123,52,216,1,13,8,2.0,tr,,,,,,,27,0.1,0,166,11,22,71,844,1745,,16,38,,0,,,
Fruits et jus de fruits,"Papaye, en dés",125mL,74,29,121,tr,7,4,1.3,tr,,,,,,,18,0.1,2,190,7,4,17,204,,0,28,,46,0,,,
Fruits et jus de fruits,"Pêche",1,98,38,160,1,9,8,1.9,tr,,,,,,,6,0.2,0,186,9,20,16,159,,0,3,,6,0,,,
Fruits et jus de fruits,"Pêches, en conserve, moitiés ou tranchées, dans du jus",125mL,132,58,243,1,15,14,1.7,tr,,,,,,,8,0.4,5,169,9,22,25,250,,0,4,,5,0,,,
Fruits et jus de fruits,"Pêches, en conserve, moitiés ou tranchées, dans l'eau",125mL,129,31,129,1,8,6,1.7,tr,,,,,,,3,0.4,4,128,6,13,35,340,,0,4,,4,0,,,
Fruits et jus de fruits,"Pêches, en conserve, moitiés ou tranchées, sirop léger",125mL,133,72,300,1,19,18,1.7,tr,,,,,,,4,0.5,7,129,7,15,24,233,,0,4,,9,0,,,
Fruits et jus de fruits,"Plantain, cuit au four ou bouilli, tranché",125mL,81,94,395,1,25,11,1.9,tr,,,,,,,2,0.5,4,378,26,23,37,300,,0,21,,9,0,,,
Fruits et jus de fruits,"Poire avec pelure",1,166,96,403,1,26,16,5.0,tr,,,,,,,15,0.3,2,198,12,18,2,22,,0,12,,7,0,,,
Fruits et jus de fruits,"Poires, en conserve, moitiés, dans du jus",125mL,131,66,274,tr,17,13,2.1,tr,,,,,,,12,0.4,5,126,9,16,,4,0,1,2,,0,,,
Fruits et jus de fruits,"Poires, en conserve, moitiés, dans l'eau",125mL,128,37,155,tr,10,8,2.0,tr,,,,,,,5,0.3,3,68,5,9,,,0,1,1,,0,,,
Fruits et jus de fruits,"Poires, en conserve, moitiés, sirop léger",125mL,133,76,316,tr,20,16,2.1,tr,,,,,,,7,0.4,7,88,5,9,,,0,1,2,,0,,,
Fruits et jus de fruits,"Pomme avec pelure (7cm diam)",1,138,72,300,tr,19,14,2.6,tr,,,,,,,8,0.2,1,148,7,15,4,37,,0,4,,6,0,,,
Fruits et jus de fruits,"Prune",1,66,30,127,tr,8,7,1.1,tr,,,,,,,4,0.1,0,104,5,11,11,125,,0,3,,6,0,,,
Fruits et jus de fruits,"Pruneaux, séchés",3,25,60,253,1,16,10,1.8,tr,,,,,,,11,0.2,1,184,10,17,10,99,,0,1,,tr,0,,,
Fruits et jus de fruits,"Pruneaux, séchés, cuits sans sucre",60mL,63,67,281,1,18,16,3.6,tr,,,,,,,12,0.3,1,202,11,19,11,109,,0,0,,2,0,,,
Fruits et jus de fruits,"Purée de pommes, non sucrée",125mL,129,55,232,tr,15,13,1.5,tr,,,,,,,4,0.2,3,97,4,9,1,17,,0,1,,13,0,,,
Fruits et jus de fruits,"Raisins",20,100,69,289,1,18,15,1.2,tr,,,,,,,10,0.4,2,191,7,20,3,39,,0,2,,11,0,,,
Fruits et jus de fruits,"Raisins secs",60mL,37,110,460,1,29,22,1.3,tr,,,,,,,18,0.7,4,275,12,37,,,0,2,1,,0,,,
